"time","ppg_reading","reading_id","laterality"
"1","10.23322141","3164.0","LEFT_ARM"
"1","10.26655438","33839.5","LEFT_ARM"
"1","10.29988734","35443.5","LEFT_ARM"
"1","10.33322031","37761.5","LEFT_ARM"
"1","10.36655328","34405.0","LEFT_ARM"
"1","10.39988625","31271.5","LEFT_ARM"
"1","10.43321922","25681.0","LEFT_ARM"
"1","10.46655219","20099.5","LEFT_ARM"
"1","10.49988516","18283.0","LEFT_ARM"
"1","10.53321813","14592.0","LEFT_ARM"
"1","10.56655109","10807.0","LEFT_ARM"
"1","10.59988406","11076.5","LEFT_ARM"
"1","10.63321703","9172.5","LEFT_ARM"
"1","10.66655","9224.0","LEFT_ARM"
"1","10.69988297","7494.0","LEFT_ARM"
"1","10.73321594","6926.0","LEFT_ARM"
"1","10.76654891","4998.5","LEFT_ARM"
"1","10.79988188","6225.5","LEFT_ARM"
"1","10.83321484","4283.5","LEFT_ARM"
"1","10.86654781","5958.0","LEFT_ARM"
"1","10.89988078","6631.5","LEFT_ARM"
"1","10.93321375","-9558.0","LEFT_ARM"
"1","10.96654672","-8577.5","LEFT_ARM"
"1","10.99987969","-7378.0","LEFT_ARM"
"1","11.03321266","-5128.5","LEFT_ARM"
"1","11.06654563","-3644.0","LEFT_ARM"
"1","11.09987859","-2540.5","LEFT_ARM"
"1","11.13321156","-1191.5","LEFT_ARM"
"1","11.16654453","1236.5","LEFT_ARM"
"1","11.1998775","2249.5","LEFT_ARM"
"1","11.23321047","2692.0","LEFT_ARM"
"1","11.26654344","26527.5","LEFT_ARM"
"1","11.29987641","30516.5","LEFT_ARM"
"1","11.33320938","34383.5","LEFT_ARM"
"1","11.36654234","35082.0","LEFT_ARM"
"1","11.39987531","36050.5","LEFT_ARM"
"1","11.43320828","32098.0","LEFT_ARM"
"1","11.46654125","26897.5","LEFT_ARM"
"1","11.49987422","22108.5","LEFT_ARM"
"1","11.53320719","17084.0","LEFT_ARM"
"1","11.56654016","12708.0","LEFT_ARM"
"1","11.59987313","13014.5","LEFT_ARM"
"1","11.63320609","10230.5","LEFT_ARM"
"1","11.66653906","9563.0","LEFT_ARM"
"1","11.69987203","7722.0","LEFT_ARM"
"1","11.733205","6886.5","LEFT_ARM"
"1","11.76653797","6556.0","LEFT_ARM"
"1","11.79987094","4862.0","LEFT_ARM"
"1","11.83320391","5393.0","LEFT_ARM"
"1","11.86653688","4538.0","LEFT_ARM"
"1","11.89986984","4668.0","LEFT_ARM"
"1","11.93320281","-7284.5","LEFT_ARM"
"1","11.96653578","-7481.5","LEFT_ARM"
"1","11.99986875","-7146.0","LEFT_ARM"
"1","12.03320172","-7522.0","LEFT_ARM"
"1","12.06653469","-5720.0","LEFT_ARM"
"1","12.09986766","-4770.0","LEFT_ARM"
"1","12.13320063","-2704.5","LEFT_ARM"
"1","12.16653359","-1257.5","LEFT_ARM"
"1","12.19986656","1674.5","LEFT_ARM"
"1","12.23319953","4068.0","LEFT_ARM"
"1","12.2665325","23786.0","LEFT_ARM"
"1","12.29986547","26306.0","LEFT_ARM"
"1","12.33319844","28142.5","LEFT_ARM"
"1","12.36653141","29045.0","LEFT_ARM"
"1","12.39986438","33763.0","LEFT_ARM"
"1","12.43319734","33308.5","LEFT_ARM"
"1","12.46653031","31014.5","LEFT_ARM"
"1","12.49986328","27751.0","LEFT_ARM"
"1","12.53319625","20679.0","LEFT_ARM"
"1","12.56652922","16270.0","LEFT_ARM"
"1","12.59986219","21118.0","LEFT_ARM"
"1","12.63319516","15951.0","LEFT_ARM"
"1","12.66652813","13594.5","LEFT_ARM"
"1","12.69986109","11533.0","LEFT_ARM"
"1","12.73319406","10761.0","LEFT_ARM"
"1","12.76652703","8924.0","LEFT_ARM"
"1","12.79986","9218.5","LEFT_ARM"
"1","12.83319297","8111.0","LEFT_ARM"
"1","12.86652594","7178.0","LEFT_ARM"
"1","12.89985891","7746.0","LEFT_ARM"
"1","12.93319188","-7174.0","LEFT_ARM"
"1","12.96652484","-6609.0","LEFT_ARM"
"1","12.99985781","-6130.0","LEFT_ARM"
"1","13.03319078","-4813.5","LEFT_ARM"
"1","13.06652375","-4559.5","LEFT_ARM"
"1","13.09985672","-2078.0","LEFT_ARM"
"1","13.13318969","-826.0","LEFT_ARM"
"1","13.16652266","926.5","LEFT_ARM"
"1","13.19985563","1658.0","LEFT_ARM"
"1","13.23318859","4591.0","LEFT_ARM"
"1","13.26652156","21922.0","LEFT_ARM"
"1","13.29985453","22854.5","LEFT_ARM"
"1","13.3331875","25722.0","LEFT_ARM"
"1","13.36652047","27479.5","LEFT_ARM"
"1","13.39985344","29018.5","LEFT_ARM"
"1","13.43318641","31557.5","LEFT_ARM"
"1","13.46651938","31612.5","LEFT_ARM"
"1","13.49985234","28778.5","LEFT_ARM"
"1","13.53318531","25198.0","LEFT_ARM"
"1","13.56651828","20496.5","LEFT_ARM"
"1","13.59985125","21721.0","LEFT_ARM"
"1","13.63318422","18555.5","LEFT_ARM"
"1","13.66651719","16869.0","LEFT_ARM"
"1","13.69985016","13715.0","LEFT_ARM"
"1","13.73318313","12078.0","LEFT_ARM"
"1","13.76651609","11940.0","LEFT_ARM"
"1","13.79984906","10476.0","LEFT_ARM"
"1","13.83318203","10293.5","LEFT_ARM"
"1","13.866515","9295.5","LEFT_ARM"
"1","13.89984797","10400.0","LEFT_ARM"
"1","13.93318094","-6357.5","LEFT_ARM"
"1","13.96651391","-5053.5","LEFT_ARM"
"1","13.99984688","-4296.5","LEFT_ARM"
"1","14.03317984","-4726.0","LEFT_ARM"
"1","14.06651281","-4232.5","LEFT_ARM"
"1","14.09984578","-823.5","LEFT_ARM"
"1","14.13317875","187.5","LEFT_ARM"
"1","14.16651172","1628.0","LEFT_ARM"
"1","14.19984469","2886.5","LEFT_ARM"
"1","14.23317766","4250.0","LEFT_ARM"
"1","14.26651063","20724.5","LEFT_ARM"
"1","14.29984359","23544.5","LEFT_ARM"
"1","14.33317656","26299.5","LEFT_ARM"
"1","14.36650953","26986.5","LEFT_ARM"
"1","14.3998425","28024.5","LEFT_ARM"
"1","14.43317547","30100.0","LEFT_ARM"
"1","14.46650844","30352.5","LEFT_ARM"
"1","14.49984141","29166.5","LEFT_ARM"
"1","14.53317438","23127.5","LEFT_ARM"
"1","14.56650734","19254.5","LEFT_ARM"
"1","14.59984031","28782.0","LEFT_ARM"
"1","14.63317328","24346.0","LEFT_ARM"
"1","14.66650625","21440.5","LEFT_ARM"
"1","14.69983922","17650.0","LEFT_ARM"
"1","14.73317219","18712.0","LEFT_ARM"
"1","14.76650516","17082.0","LEFT_ARM"
"1","14.79983813","14214.0","LEFT_ARM"
"1","14.83317109","14205.0","LEFT_ARM"
"1","14.86650406","13488.0","LEFT_ARM"
"1","14.89983703","13172.0","LEFT_ARM"
"1","14.93317","2843.5","LEFT_ARM"
"1","14.96650297","3562.0","LEFT_ARM"
"1","14.99983594","3124.5","LEFT_ARM"
"1","15.03316891","4717.5","LEFT_ARM"
"1","15.06650188","6816.0","LEFT_ARM"
"1","15.09983484","7019.5","LEFT_ARM"
"1","15.13316781","8363.5","LEFT_ARM"
"1","15.16650078","8684.5","LEFT_ARM"
"1","15.19983375","11129.5","LEFT_ARM"
"1","15.23316672","13743.5","LEFT_ARM"
"1","15.26649969","28398.0","LEFT_ARM"
"1","15.29983266","30450.0","LEFT_ARM"
